Dia,Validos referencia,Validos teste,Inválidos referencia,Inválidos teste
06/05/2025,167,171,4,0
07/05/2025,144,144,0,0
08/05/2025,159,159,0,0
09/05/2025,97,97,0,0
10/05/2025,24,24,0,0
11/05/2025,24,24,0,0
12/05/2025,81,81,0,0
13/05/2025,78,78,0,0
14/05/2025,74,74,0,0
15/05/2025,121,121,0,0
16/05/2025,68,68,0,0
17/05/2025,25,25,0,0
18/05/2025,25,25,0,0
19/05/2025,25,25,0,0
20/05/2025,25,25,0,0
21/05/2025,24,24,0,0
22/05/2025,25,25,0,0
23/05/2025,24,24,0,0
24/05/2025,25,25,0,0
25/05/2025,26,26,0,0
26/05/2025,25,25,0,0
27/05/2025,24,24,0,0
28/05/2025,24,24,0,0
29/05/2025,25,25,0,0
30/05/2025,25,25,0,0
31/05/2025,30,30,0,0
01/06/2025,25,25,0,0
02/06/2025,25,25,0,0
03/06/2025,25,25,0,0
04/06/2025,24,24,0,0
05/06/2025,66,66,0,0
06/06/2025,40,40,0,0
